"INCIDENT","CONTAINED","COUNTY","FIRENAME","START","CONT","ORIGIN","ACRESBURNED","OTHER","TOTAL","VEGTYPE","CAUSE","STRUCTURES_DEST","STRUCTURES_DAM","FATALITIES_FIRE","FATALITIES_CIVIL"
"RRU-52091","100%","RIVERSIDE","SOBOBA","06/22/05","06/24/05","CDF",2000,,2000,"GB","EQUIP. USE",0,0,0,0
"BDU-6587","100%","SAN BERNARDINO","HACKBERRY ASSIST","06/22/05","06/27/05","NPS",,71000,71000,"GB","LIGHTNING",11,0,0,0
"SCU-2567","100%","CONTRA COSTA","BRAGDON","07/01/05","07/02/05","CDF",490,,490,"W","VEHICLE",0,0,0,0
"MMU-11965","100%","MADERA","BAILEY","07/02/05","07/02/05","CDF",1056,,1056,"W","UNDET.",0,0,0,0
"BDU-9126","100%","LOS ANGELES","ASSIST ""TOVEY""","07/05/05","07/06/05","CDF/CC",1200,,1200,"GB","UI",0,0,0,0
"RRU-56179","100%","RIVERSIDE","ASSIST ORC(YORBA LINDA)","07/05/05","07/05/05","CDF/CC",1078,,1078,"GB","HUMAN",0,0,0,0
"TUU-7505","100%","TULARE","MILLWOOD","07/07/05","07/07/05","CDF",2600,,2600,"W","ARSON",0,0,0,0
"TUU-7902","100%","TULARE","HIGH","07/09/05","07/09/05","CDF/CC",971,,971,"GWB","UI",0,0,0,0
"TUU-7893","100%","TULARE","SQF NINE(NINE)","07/09/05","07/09/05","USFS",,1150,1150,"G","UI",3,0,0,0
"BDU-731","100%","SAN BERNARDINO","SIERRA","07/14/05","07/15/05","CDF/CC",525,,525,"N/A","UI",1,0,0,0
"SCU-2920","100%","ALAMEDA","TESLA","07/19/05","07/20/05","CDF",6744,,6744,"G","ARSON",0,1,0,0
"TUU-8421","100%","KERN","KRN-25 (CHINA LAKE)","07/19/05","07/19/05","BLM",,1282,1282,"B","HUMAN",0,0,0,0
"SCU-2922","100%","CONTRA COSTA","BRUNS","07/20/05","07/20/05","CDF",350,,350,"G","UNDET.",0,0,0,0
"BDU-7673","100%","SAN BERNARDINO","ASSIST-KINGSTON","07/22/05","07/23/05","BLM",,3500,3500,"G","LIGHTNING",0,0,0,0
"BDU-7661","100%","INYO","ASSIST(PINYON COMPLEX)","07/22/05","07/22/05","USFS",,743,743,"GB","LIGHTNING",1,0,0,0
"TGU-4548","100%","TEHAMA","RANCH","07/25/05","07/25/05","CDF",430,,430,"WGB","VEHICLE",0,0,0,0
"MMU-13780","100%","MADERA","QUARTZ","07/25/05","07/27/05","CDF",550,,550,"B","EQUIP. USE",2,0,0,0
