RANGER UNIT,,,DATE ORIGIN,,AC S BURNED,,VEG FATALITIES.,STRUCTURES
MADOR-EL DORADO,CDF ASSIST (SCOTT),08/02196 08/03/96,CITY,"9,820 9,820",G,ARSON,0 0,0 0
TUOLUMNE-CALAVERAS,LIGHTNING #40,08/12/96 08/12/96,CDF,"1,500 1,500",GB,LIGHTNING,0 0,0 0
CALAVERAS,LIGHTNING #12 (BEAR),08/12/96 08/15/96,CDF,"1,250 1,250",WTGB,LIGHTNING,0 0,0 0
TUOLUMNE-CALAVERAS,LIGHTNING #14 (ESPERANZA),08/12/96 08/20/96,CDF,"3,000 3,000",B,LIGHTNING,0 0,0 0
TUOLUMNE-CALAVERAS,MANUAL,08/12/96 08/13196,CDF,325 325,T,LIGHTNING,0 0,0 0
TUOLUMNE-CALAVERAS,LIGHTNING #29 (KEYSTONE),08/12/96 08/12/96,CDF/BLM,"3,000 4,000 7,000",GB,LIGHTNING,20 7,0 0
TULARE,KAWEAH,08/13/96 08/22/96,CDF/NPS,"1,220 3,259 4,479",GB,VEHICLE,1 0,0 0
STANISLAUS NF,ROGGE FIRE,08/14/96 08/24/96,USFS,"23,200 23,200",WA,LIGHTNING,2 N/A,WA WA
YOSEMITE NP,CKERSON FIRE,08/14/96 08131/96,USFS,"46,030 46,030",WA,LIGHTNING,N/A WA,N/A N/A
FRESNO,TRIMMER,08/17/96 08/19/96,CDF,"5,607 5,607",GB,ARSON,0 0,0 0
SEQUOIA NF,CHOLOLLO,08/18/96 08/23/96,BIA,"2,850 2,850",N/A,SUSPECT ARSON,N/A N/A,0 0
LOS PADRES NF,WILD,10/07/96 10/15/96,USFS,"25,590 25,590",NA,SUSPECT ARSON,N/A NA,0 0
TULARE,OAK FLAT,10/10/96 10/11/96,USFS,"1,000 1,000",NA,NA,NA ~ NA,0 0
MADERA-MARIPOSA,BANOS,10/18/96 10/19/96,CDF,"4,380 4,380",G,LIGHTNING,0 0,0 0
MONTEREY,SUR,10/18/96 10/27/96,USFS,"4,4301 4,430",WA,UNDER INV .,WA WA,0 0
78 LARGE DAMAGING FIRES -,52 LARGE DAMAGING FIRES ARE,CDF DPA,,"177 517 381 .3291 558,8461",,,199 59,0 1
